COUNTRY,WEEK_START,EVENTS,TOTAL_MENTIONS,TOTAL_ARTICLES,AVG_TONE,AVG_GOLDSTEIN,LAT_CENTROID,LONG_CENTROID
NG,2022-05-16,177,948,940,-4.2611397742045121,-5.9954802259887,15.482692090395481,7.0076533333333337
NG,2022-05-23,162,953,950,-3.2572445441788309,-6.030246913580247,15.195732098765431,6.5475628148148139
NG,2022-05-30,173,1129,1067,-4.1727158747425168,-5.806358381502891,15.459128901734106,7.87345263583815
NG,2022-06-06,122,691,691,-4.3738304153050267,-6.1163934426229511,15.181958196721311,5.936220409836066
NG,2022-06-13,248,1536,1517,-5.9931804646842863,-7.6318548387096783,15.286840725806449,7.1887308467741926
NG,2022-06-20,166,1093,1070,-5.7071980698355285,-6.8078313253012048,15.885393373493978,7.7060027710843366
NG,2022-06-27,270,1523,1485,-5.53137101356071,-6.728518518518519,15.52489814814815,7.19776625925926
NG,2022-07-04,182,1049,1037,-6.8767419143077921,-6.7219780219780221,15.286816483516484,8.4614210989011
NG,2022-07-11,142,862,862,-4.0328057313471692,-6.9732394366197186,15.380454225352112,6.4610190140845072
NG,2022-07-18,187,1073,1063,-5.6021643556352423,-7.4930481283422461,15.404202673796791,7.4973331016042781
NG,2022-07-25,197,967,966,-4.5560441019465143,-6.5263959390862949,15.56041116751269,7.2146045685279185
NG,2022-08-01,240,1148,1114,-4.7564555296687079,-5.7162500000000005,15.6404275,7.3625702916666658
NG,2022-08-08,206,1199,1178,-5.7599058797353466,-6.9053398058252426,15.446028640776701,7.1006913106796121
NG,2022-08-15,183,1003,1000,-3.6212884408790869,-6.0147540983606556,15.030775956284154,6.0159924590163936
NG,2022-08-22,153,885,825,-4.5938266196935471,-5.8895424836601293,15.422651633986927,6.6316993856209159
NG,2022-08-29,117,691,671,-3.2814996310712266,-6.7623931623931632,15.259422222222224,7.3028138461538461
NG,2022-09-05,169,955,935,-4.4220993666056545,-6.2810650887573969,15.240153254437869,7.3466299408284019
NG,2022-09-12,205,1066,1062,-5.0454082012506278,-6.1673170731707314,15.084909268292682,7.1382930243902436
NG,2022-09-19,238,1443,1423,-4.870341712186752,-6.5747899159663872,15.214403361344537,6.3985612605042013
NG,2022-09-26,120,753,741,-3.5185450594099494,-5.121666666666667,15.491189166666665,7.5299255000000009
NG,2022-10-03,123,803,803,-2.158336742724845,-5.7422764227642276,15.35759024390244,6.2448617886178868
NG,2022-10-10,118,648,648,-3.0339546695758903,-6.3423728813559324,15.263618644067797,6.315997711864406
NG,2022-10-17,225,1435,1415,-6.02665709111756,-6.852444444444445,15.560427111111112,7.0893371555555555
NG,2022-10-24,173,1226,1180,-5.1080274448356775,-6.550867052023122,15.021871676300577,6.1924600578034674
NG,2022-10-31,158,898,888,-5.9884310937675682,-6.30379746835443,15.493100632911391,7.0649248734177217
NG,2022-11-07,118,692,691,-4.9813631392469944,-5.87457627118644,15.35390338983051,7.4819238135593231
NG,2022-11-14,153,770,752,-5.7146864169594167,-6.5333333333333341,15.02103594771242,6.40364366013072
NG,2022-11-21,108,614,614,-4.35081699118781,-6.5842592592592588,15.127449074074073,7.2299009259259268
NG,2022-11-28,120,611,603,-2.3295734825728394,-5.9758333333333322,15.517840833333334,7.0270021666666675
NG,2022-12-05,134,820,801,-3.550433430402153,-6.4514925373134338,15.669399253731344,6.829410111940299
NG,2022-12-12,115,607,597,-3.1023872075122521,-5.6765217391304352,15.560654782608694,6.6725960434782614
NG,2022-12-19,149,873,871,-4.6186914808187494,-6.6228187919463091,15.038147651006712,7.3246006040268457
NG,2022-12-26,105,648,628,-4.61207777795686,-6.8857142857142852,15.229183809523809,6.2830518095238093
NG,2023-01-02,68,375,365,-3.1399750103430057,-6.80735294117647,15.136683823529411,7.0101497058823536
NG,2023-01-09,145,909,907,-5.3542289275170321,-6.461379310344828,15.652082068965518,7.3973291724137935
NG,2023-01-16,231,1500,1492,-5.7710731149597132,-7.606493506493508,15.58949696969697,7.2043448917748911
NG,2023-01-23,195,1267,1240,-5.06075941387936,-7.821538461538462,15.377943589743589,6.8545743692307681
NG,2023-01-30,127,764,754,-5.6354913912718194,-6.6244094488188976,15.234804724409448,6.6911565275590554
NG,2023-02-06,197,1029,995,-4.6625830925149172,-6.9593908629441632,15.329957868020305,6.8627632994923866
NG,2023-02-13,113,655,631,-5.0232135363789938,-5.8884955752212393,15.31835663716814,6.9430129203539828
NG,2023-02-20,111,752,739,-4.4044456280703059,-6.5468468468468473,15.077762162162161,6.5639090090090093
NG,2023-02-27,122,749,729,-2.6475094643885821,-6.3131147540983612,14.832716393442622,6.922040819672131
NG,2023-03-06,139,861,848,-3.5321668620558482,-6.359712230215826,15.492961151079138,7.2702220863309348
NG,2023-03-13,241,1456,1446,-4.1931421865742768,-6.1016597510373449,15.262702904564314,6.4816606224066389
NG,2023-03-20,314,1375,1371,-1.37473302524608,-7.3538216560509557,14.834622292993629,5.0476091401273884
NG,2023-03-27,464,2109,2084,-1.5907948877110065,-8.4413793103448249,15.746499784482761,7.6286075431034481
NG,2023-04-03,285,1506,1491,-5.7896579143583216,-6.9217543859649115,15.116465964912283,7.3414742456140338
NG,2023-04-10,224,1265,1227,-4.7388242859881142,-6.5991071428571431,15.738001785714285,6.8667223482142852
NG,2023-04-17,118,694,694,-4.8983475324676782,-6.4144067796610162,15.594475423728811,7.2595590677966113
